Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
29-02-2024,253387,70,NA,NA,NA,NA
28-02-2024,243724,53,NA,NA,NA,NA
27-02-2024,241314,70,NA,NA,NA,NA
26-02-2024,237902,42,NA,NA,NA,NA
23-02-2024,234976,54,NA,NA,NA,NA
22-02-2024,238958,59,NA,NA,NA,NA
21-02-2024,240043,90,NA,NA,NA,NA
20-02-2024,233386,44,NA,NA,NA,NA
19-02-2024,230273,67,NA,NA,NA,NA
16-02-2024,227927,46,59.5,238189,0,0
15-02-2024,225284,97,62.2,235378.7,0,1
14-02-2024,225884,61,63,233594.7,0,0
13-02-2024,221665,74,63.4,231629.8,0,1
12-02-2024,218313,68,65.78,229670.9,0,1
09-02-2024,218313,74,68,228004.6,0,1
08-02-2024,216832,75,69.78,225792,0,1
07-02-2024,213967,75,68.11,223184.4,0,1
06-02-2024,212608,71,71.11,221106.6,0,0
05-02-2024,209612,64,70.78,219040.5,0,0
02-02-2024,208948,37,69.78,217142.6,0,0
31-01-2024,213617,65,66.22,215975.9,0,0
30-01-2024,213781,125,73.33,214765.6,0,1
29-01-2024,214979,43,69.89,214097,1,0
26-01-2024,214451,87,71.6,213710.8,1,1
24-01-2024,209735,61,70.3,212853,0,0
23-01-2024,210359,83,71.1,212205.7,0,1
22-01-2024,209926,40,67.6,211801.6,0,0
19-01-2024,210844,72,67.7,211625.2,0,1
18-01-2024,209502,108,72.1,211614.2,0,1
17-01-2024,207016,81,76.5,211421,0,1
16-01-2024,207056,84,78.4,210764.9,0,1
15-01-2024,203333,43,70.2,209720.1,0,0
12-01-2024,202342,92,75.1,208456.4,0,1
11-01-2024,207276,47,71.1,207738.9,0,0
10-01-2024,206008,92,74.2,207366.2,0,1
09-01-2024,208094,113,77.2,207139.7,1,1
08-01-2024,209554,56,78.8,207102.5,1,0
05-01-2024,212004,43,75.9,207218.5,1,0
04-01-2024,214362,42,69.3,207704.5,1,0
03-01-2024,214637,69,68.1,208466.6,1,1
02-01-2024,215342,50,64.7,209295.2,1,0
29-12-2023,214704,78,68.2,210432.3,1,1
28-12-2023,213487,31,62.1,211546.8,1,0
27-12-2023,219536,39,61.3,212772.8,1,0
26-12-2023,217402,38,55.9,213912.2,1,0
22-12-2023,217514,59,50.5,214854.2,1,1
21-12-2023,221033,94,54.3,216002.1,1,1
20-12-2023,220305,46,54.6,216832.2,1,0
19-12-2023,218704,42,54.6,217266.4,1,0
18-12-2023,216045,85,56.2,217407.2,0,1
15-12-2023,215935,64,57.6,217466.5,0,1
14-12-2023,219433,48,54.6,217939.4,1,0
13-12-2023,217271,73,58.8,218317.8,0,1
12-12-2023,216723,75,62.4,218036.5,0,1
11-12-2023,215539,53,63.9,217850.2,0,0
08-12-2023,214153,62,64.2,217514.1,0,0
07-12-2023,216188,85,63.3,217029.6,0,1
06-12-2023,216557,104,69.1,216654.8,0,1
05-12-2023,211963,82,73.1,215980.7,0,1
04-12-2023,208321,38,68.4,215208.3,0,0
01-12-2023,208661,95,71.5,214480.9,0,1
30-11-2023,206142,51,71.8,213151.8,0,0
29-11-2023,207183,71,71.6,212143,0,0
28-11-2023,210674,67,70.8,211538.1,0,0
27-11-2023,211391,68,72.3,211123.3,1,0
24-11-2023,211241,69,73,210832.1,1,0
23-11-2023,210424,51,69.6,210255.7,1,0
22-11-2023,210528,87,67.9,209652.8,1,1
21-11-2023,208339,70,66.7,209290.4,0,1
20-11-2023,208147,45,67.4,209273,0,0
17-11-2023,210160,92,67.1,209422.9,1,1
16-11-2023,214906,64,68.4,210299.3,1,0
15-11-2023,219171,92,70.5,211498.1,1,1
14-11-2023,217397,84,72.2,212170.4,1,1
10-11-2023,215538,75,72.9,212585.1,1,1
09-11-2023,212522,60,72,212713.2,0,0
08-11-2023,211253,69,73.8,212796.1,0,0
07-11-2023,213350,95,74.6,213078.3,1,1
06-11-2023,212598,72,74.8,213504.2,0,0
03-11-2023,215228,47,75,214212.3,1,0
02-11-2023,216743,118,77.6,214870.6,1,1
01-11-2023,215846,71,78.3,214964.6,1,0
31-10-2023,213479,95,78.6,214395.4,0,1
30-10-2023,211928,77,77.9,213848.5,0,0
27-10-2023,212089,79,78.3,213503.6,0,1
26-10-2023,215447,133,85.6,213796.1,1,1
25-10-2023,211404,69,85.6,213811.2,0,0
24-10-2023,212102,105,86.6,213686.4,0,1
23-10-2023,222092,55,84.9,214635.8,1,0
